Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
6389, 0.14, -0.06, 0.56, 5.17, 66.92, -7.96, 0.03, 0.25, -0.42
6464, 0.36, 0.03, -0.04, -14.18, 48.57, 24.85, 0.04, 0.25, -0.42
6534, 0.37, -0.01, -0.18, -12.41, 13.24, 9.94, 0.06, 0.25, -0.42
6603, 0.32, 0.09, 0.27, 0.80, -48.27, 5.52, 0.05, 0.25, -0.43
6673, 0.18, -0.37, 0.35, 15.72, -27.08, -32.58, 0.04, 0.25, -0.42
6743, 0.08, -0.24, 0.65, -6.10, -47.31, -34.76, 0.01, 0.25, -0.41
6812, 0.02, 0.14, 1.51, 7.64, -95.62, -13.65, -0.02, 0.25, -0.39
6882, -0.12, 0.18, 1.24, 12.71, -112.04, -2.83, -0.04, 0.25, -0.38
6951, -0.14, -0.27, 1.68, 4.51, -125.88, -17.37, -0.10, 0.25, -0.35
7023, -0.19, 0.06, 1.19, 14.07, -93.99, -2.32, -0.11, 0.25, -0.33
7091, -0.27, -0.01, 1.09, -20.12, -28.03, -15.67, -0.13, 0.25, -0.30
7160, -0.29, -0.02, 1.69, 10.40, -50.77, -9.77, -0.15, 0.24, -0.27
7229, -0.30, -0.02, 1.58, -15.24, 50.38, 6.80, -0.15, 0.24, -0.28
7298, -0.26, 0.09, 1.48, -12.02, 69.07, 9.86, -0.13, 0.24, -0.31
7366, -0.23, 0.03, 1.15, -13.47, 97.26, 19.18, -0.11, 0.23, -0.33
7436, -0.16, 0.13, 1.15, 3.82, 102.58, 21.05, -0.09, 0.24, -0.35
7505, 0.01, 0.24, 0.67, -23.29, 94.62, 37.32, -0.03, 0.23, -0.40
7578, 0.07, -0.04, 0.79, 10.30, 67.74, -0.61, -0.01, 0.23, -0.41
7648, 0.16, 0.01, 0.28, 4.39, 72.00, -2.62, 0.01, 0.23, -0.41
7717, 0.29, 0.19, 0.02, -0.93, 57.85, 15.47, 0.05, 0.23, -0.42
7785, 0.24, 0.04, -0.05, -4.25, 11.21, -1.66, 0.07, 0.24, -0.42
7880, 0.23, -0.01, 0.10, 1.96, -53.80, -18.02, 0.05, 0.23, -0.43
7950, 0.13, 0.12, 0.21, 28.94, -81.57, -22.52, 0.03, 0.24, -0.42
8019, -0.10, -0.36, 1.07, 55.14, -147.73, -24.63, -0.03, 0.25, -0.40
8093, -0.17, -0.09, 1.79, 18.64, -108.56, -25.80, -0.07, 0.25, -0.38
8164, -0.12, -0.15, 1.95, -0.35, -43.45, -44.61, -0.11, 0.25, -0.34
8233, -0.09, -0.37, 1.63, 37.02, -26.03, -25.87, -0.11, 0.25, -0.33
8303, 0.06, 0.06, 1.24, -12.37, 11.90, -5.74, -0.11, 0.25, -0.33
8371, -0.20, -0.90, 1.20, 14.73, 18.79, -38.92, -0.09, 0.24, -0.34
8441, -0.32, -1.18, 0.75, -13.85, 58.80, -12.73, -0.09, 0.23, -0.36
8511, -0.15, -0.10, 0.74, 7.89, 30.93, 102.92, -0.08, 0.23, -0.37
8579, -0.08, -0.38, 0.44, 12.63, 21.73, 82.41, -0.08, 0.25, -0.38
8662, -0.04, 0.24, 0.63, -2.88, 0.16, 85.43, -0.08, 0.27, -0.37
8730, -0.14, 0.47, 0.96, -5.15, -18.23, 85.08, -0.08, 0.29, -0.36
8799, -0.11, 0.82, 1.06, 3.09, -8.56, 45.25, -0.09, 0.30, -0.36
8868, -0.06, 0.80, 1.05, 22.13, -9.78, -4.60, -0.09, 0.30, -0.37
8938, -0.16, 0.52, 0.96, 1.03, 5.55, -64.97, -0.09, 0.30, -0.37
9007, -0.17, 0.18, 1.03, -9.03, 3.14, -92.35, -0.08, 0.29, -0.36
9076, -0.14, -0.12, 1.02, -11.86, -6.55, -106.01, -0.08, 0.28, -0.36
9146, -0.11, -0.28, 1.02, -33.70, 1.76, -89.47, -0.08, 0.26, -0.37
9218, -0.14, -0.70, 0.91, -35.13, 10.11, -94.29, -0.07, 0.23, -0.37
9287, -0.03, -0.68, 0.78, -22.31, 10.24, -62.76, -0.05, 0.20, -0.38
9356, 0.09, -1.59, 0.85, 23.45, 15.48, -105.88, -0.05, 0.18, -0.38
9424, -0.06, -0.68, 0.90, 2.45, 20.23, 43.75, -0.04, 0.18, -0.38
9493, -0.07, -0.30, 0.91, 20.51, 20.66, 82.27, -0.05, 0.21, -0.38
9561, -0.06, -0.20, 0.92, 21.38, 6.18, 88.08, -0.06, 0.22, -0.38
9629, -0.10, 0.12, 1.10, 60.10, -30.19, 99.10, -0.07, 0.23, -0.39
9702, -0.01, 0.22, 0.67, 19.53, 1.58, 87.88, -0.08, 0.26, -0.38
9771, -0.15, 0.10, 1.37, 29.74, -26.94, 77.92, -0.09, 0.28, -0.36
9840, -0.00, 0.38, 0.90, -9.43, 0.38, 63.34, -0.08, 0.30, -0.37
9910, 0.03, 0.61, 0.98, 14.71, -28.03, 60.51, -0.09, 0.32, -0.36
9980, -0.05, 0.49, 1.02, 3.59, 3.75, -19.68, -0.08, 0.32, -0.36
10050, -0.09, 0.22, 0.93, -8.94, 8.01, -49.54, -0.08, 0.32, -0.36
10119, -0.07, 0.30, 0.93, -27.56, 2.22, -73.06, -0.08, 0.31, -0.36
10188, -0.10, 0.06, 0.96, -16.33, -10.10, -85.92, -0.08, 0.30, -0.37
10261, -0.13, -0.17, 1.05, -25.68, -0.47, -104.68, -0.08, 0.27, -0.36
10330, -0.17, -0.44, 1.26, 5.79, -14.42, -98.73, -0.08, 0.26, -0.36
10399, -0.24, -0.50, 1.21, -13.27, 3.00, -106.34, -0.08, 0.24, -0.37
10469, 0.03, -0.10, 0.89, -33.68, 15.73, -43.59, -0.05, 0.21, -0.38
10537, -0.06, -0.72, 0.95, 8.07, -2.21, -75.47, -0.04, 0.19, -0.38
10607, -0.17, -0.89, 1.04, 25.71, -13.02, -65.99, -0.03, 0.18, -0.37
10676, -0.06, -0.55, 0.77, -1.97, 11.76, 68.30, -0.04, 0.19, -0.38
10748, -0.14, -0.60, 1.02, 22.91, 0.63, 64.08, -0.05, 0.20, -0.38
10820, -0.19, -0.03, 1.19, 35.42, -10.84, 109.89, -0.07, 0.23, -0.38
10889, -0.25, -0.11, 1.08, 42.62, -8.89, 119.68, -0.08, 0.24, -0.37
10958, -0.15, 0.17, 1.00, 8.10, 3.64, 119.52, -0.08, 0.27, -0.38
11028, -0.09, 0.37, 1.03, 30.69, -8.44, 107.81, -0.08, 0.30, -0.37
11097, -0.04, 0.16, 1.07, 26.92, -6.43, 76.02, -0.08, 0.32, -0.37
11167, -0.03, 0.95, 1.01, -1.54, -1.52, 114.83, -0.06, 0.34, -0.38
11237, -0.02, 0.47, 1.10, 10.52, -7.53, -29.57, -0.07, 0.34, -0.37
11309, -0.03, 0.52, 0.96, -18.70, 0.88, -52.13, -0.07, 0.33, -0.37
11378, -0.01, 0.13, 0.89, -27.84, 6.58, -101.28, -0.07, 0.31, -0.37
11448, -0.10, -0.06, 0.98, -25.88, -17.66, -113.11, -0.07, 0.29, -0.38
11516, -0.10, -0.36, 1.05, -41.41, -11.21, -107.06, -0.07, 0.27, -0.38
11587, -0.15, -0.42, 1.29, -17.11, -24.65, -93.94, -0.08, 0.24, -0.37
11655, -0.07, -0.39, 1.07, -12.60, -9.58, -83.51, -0.07, 0.22, -0.37
11723, -0.01, -0.58, 1.07, -3.74, -10.75, -55.94, -0.06, 0.21, -0.38
